"name","year","stint","team","league","G","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","pos","birth","age","hand"
"aaronha01",1970,1,"ATL","NL",150,516,103,154,26,1,38,118,9,0,74,63,15,2,0,6,13,RF,1934,37,R
"aaronha01",1971,1,"ATL","NL",139,495,95,162,22,3,47,118,1,1,71,58,21,2,0,5,9,RF,1934,38,R
"aaronha01",1972,1,"ATL","NL",129,449,75,119,10,0,34,77,4,0,92,55,15,1,0,2,17,RF,1934,39,R
"aaronha01",1973,1,"ATL","NL",120,392,84,118,12,1,40,96,1,1,68,51,13,1,0,4,7,LF,1934,40,R
"aaronha01",1974,1,"ATL","NL",112,340,47,91,16,0,20,69,1,0,39,29,6,0,1,2,6,LF,1934,41,R
"aaronha01",1975,1,"ML4","AL",137,465,45,109,16,2,12,60,0,1,70,51,3,1,1,6,15,LF,1934,42,R
"aaronha01",1976,1,"ML4","AL",85,271,22,62,8,0,10,35,0,1,35,38,1,0,0,2,8,LF,1934,43,R
"aaronto01",1970,1,"ATL","NL",44,63,3,13,2,0,2,7,0,0,3,10,0,0,0,0,5,LF,1939,32,R
"aaronto01",1971,1,"ATL","NL",25,53,4,12,2,0,0,3,0,0,3,5,1,0,0,0,3,3B,1939,33,R
"abadan01",2001,1,"OAK","AL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1B,1972,30,L
"abadan01",2003,1,"BOS","AL",9,17,1,2,0,0,0,0,0,1,2,5,0,0,0,0,1,RF,1972,32,L
"abbotje01",1997,1,"CHA","AL",19,38,8,10,1,0,1,2,0,0,0,6,0,0,0,0,3,RF,1972,26,R
"abbotje01",1998,1,"CHA","AL",89,244,33,68,14,1,12,41,3,3,9,28,1,0,2,5,2,RF,1972,27,R
"abbotje01",1999,1,"CHA","AL",17,57,5,9,0,0,2,6,1,1,5,12,0,0,1,1,4,LF,1972,28,R
"abbotje01",2000,1,"CHA","AL",80,215,31,59,15,1,3,29,2,1,21,38,1,2,2,1,2,RF,1972,29,R
"abbotje01",2001,1,"FLO","NL",28,42,5,11,3,0,0,5,0,0,3,7,0,1,0,0,1,RF,1972,30,R
"abbotku01",1993,1,"OAK","AL",20,61,11,15,1,0,3,9,2,0,3,20,0,0,3,0,3,SS,1969,25,R
"abbotku01",1994,1,"FLO","NL",101,345,41,86,17,3,9,33,3,0,16,98,1,5,3,2,5,SS,1969,26,R
"abbotku01",1995,1,"FLO","NL",120,420,60,107,18,7,17,60,4,3,36,110,4,5,2,5,6,SS,1969,27,R
"abbotku01",1996,1,"FLO","NL",109,320,37,81,18,7,8,33,3,3,22,99,1,3,4,0,7,SS,1969,28,R
"abbotku01",1997,1,"FLO","NL",94,252,35,69,18,2,6,30,3,1,14,68,3,1,6,0,5,SS,1969,29,R
"abbotku01",1998,1,"OAK","AL",35,123,17,33,7,1,2,9,2,1,10,34,0,1,1,1,3,SS,1969,30,R
"abbotku01",1998,2,"COL","NL",42,71,9,18,6,0,3,15,0,0,2,19,0,1,0,2,2,SS,1969,30,R
"abbotku01",1999,1,"COL","NL",96,286,41,78,17,2,8,41,3,2,16,69,0,0,2,1,4,SS,1969,31,R
"abbotku01",2000,1,"NYN","NL",79,157,22,34,7,1,6,12,1,1,14,51,2,1,0,1,2,SS,1969,32,R
"abbotku01",2001,1,"ATL","NL",6,9,0,2,0,0,0,0,1,0,0,3,0,0,0,0,0,SS,1969,33,R
"abernbr01",2001,1,"TBA","AL",79,304,43,82,17,1,5,33,8,3,27,35,1,0,3,1,3,2B,1977,25,R
"abernbr01",2002,1,"TBA","AL",117,463,46,112,18,4,2,40,10,4,25,46,0,6,8,2,8,DH,1977,26,R
"abernbr01",2003,1,"KCA","AL",10,27,2,2,0,0,0,0,0,0,1,3,0,0,2,0,2,2B,1977,27,R
"abernbr01",2003,2,"TBA","AL",2,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2B,1977,27,R
"abnersh01",1987,1,"SDN","NL",16,47,5,13,3,1,2,7,1,0,2,8,0,0,0,0,0,LF,1966,22,R
"abnersh01",1988,1,"SDN","NL",37,83,6,15,3,0,2,5,0,1,4,19,1,1,0,1,1,RF,1966,23,R
"abnersh01",1989,1,"SDN","NL",57,102,13,18,4,0,2,14,1,0,5,20,2,0,0,1,1,LF,1966,24,R
"abnersh01",1990,1,"SDN","NL",91,184,17,45,9,0,1,15,2,3,9,28,1,2,2,1,3,CF,1966,25,R
"abnersh01",1991,1,"SDN","NL",53,115,15,19,4,1,1,5,0,0,7,25,4,1,1,1,3,CF,1966,26,R
"abnersh01",1991,2,"CAL","AL",41,101,12,23,6,1,2,9,1,2,4,18,0,0,0,0,3,CF,1966,26,R
"abnersh01",1992,1,"CHA","AL",97,208,21,58,10,1,1,16,1,2,12,35,2,3,2,3,3,RF,1966,27,R
